game_pk,policy,reward,challenges,successes
746440,Greedy,0.1529999999999999,4,2
746443,Greedy,0.253,3,1
746452,Greedy,0.3029999999999997,6,4
746459,Greedy,-0.02,2,0
746461,Greedy,0.06099999999999991,3,1
746466,Greedy,0.1529999999999999,4,2
746504,Greedy,0.07200000000000001,3,1
746512,Greedy,0.173,3,1
746514,Greedy,0.1409999999999999,4,2
746516,Greedy,0.06099999999999991,3,1
746529,Greedy,-0.02,2,0
746531,Greedy,0.253,3,1
746584,Greedy,-0.02,2,0
746601,Greedy,-0.02,2,0
746602,Greedy,0.06099999999999991,3,1
746605,Greedy,-0.02,2,0
746612,Greedy,-0.02,2,0
746620,Greedy,0.06099999999999991,3,1
746659,Greedy,0.06099999999999991,3,1
746662,Greedy,-0.02,2,0
746663,Greedy,-0.02,2,0
746678,Greedy,0.1419999999999998,4,2
746679,Greedy,-0.02,2,0
746687,Greedy,0.06099999999999991,3,1
746703,Greedy,0.06099999999999991,3,1
746707,Greedy,0.4809999999999997,6,4
746746,Greedy,-0.02,2,0
746752,Greedy,-0.02,2,0
746754,Greedy,0.1049999999999998,4,2
746756,Greedy,-0.02,2,0
746761,Greedy,-0.02,2,0
746767,Greedy,-0.02,2,0
746769,Greedy,-0.02,2,0
746771,Greedy,0.06099999999999991,3,1
746772,Greedy,0.14,4,2
746840,Greedy,0.06099999999999991,3,1
746846,Greedy,-0.02,2,0
746850,Greedy,0.3239999999999999,4,2
746853,Greedy,-0.02,2,0
746865,Greedy,-0.02,2,0
746870,Greedy,-0.02,2,0
746872,Greedy,0.1409999999999999,4,2
746908,Greedy,-0.02,2,0
746924,Greedy,-0.02,2,0
746993,Greedy,-0.02,2,0
746997,Greedy,-0.02,2,0
747014,Greedy,0.2209999999999999,5,3
747024,Greedy,-0.02,2,0
747029,Greedy,0.9689999999999999,6,4
747067,Greedy,0.07200000000000001,3,1
747072,Greedy,-0.02,2,0
747077,Greedy,-0.02,2,0
747081,Greedy,0.06099999999999991,3,1
747083,Greedy,-0.02,2,0
747092,Greedy,-0.02,2,0
747101,Greedy,-0.02,2,0
747111,Greedy,0.1419999999999998,4,2
747145,Greedy,-0.02,2,0
747151,Greedy,0.0649999999999999,3,1
747160,Greedy,0.06099999999999991,3,1
747161,Greedy,0.07200000000000001,3,1
747163,Greedy,-0.02,2,0
747167,Greedy,-0.02,2,0
747170,Greedy,-0.02,2,0
747176,Greedy,0.06099999999999991,3,1
747179,Greedy,-0.02,2,0
747180,Greedy,-0.02,2,0
747191,Greedy,-0.02,2,0
747192,Greedy,-0.02,2,0
744798,Q-Learning,0.06099999999999991,3,1
744801,Q-Learning,-0.02,2,0
744802,Q-Learning,0.2219999999999998,5,3
744803,Q-Learning,0.568,3,1
744810,Q-Learning,-0.02,2,0
744823,Q-Learning,0.4169999999999997,6,5
744827,Q-Learning,-0.02,2,0
744838,Q-Learning,0.060000000000000005,3,1
744883,Q-Learning,0.06099999999999991,3,1
744890,Q-Learning,0.1529999999999999,4,2
744892,Q-Learning,-0.02,2,0
744896,Q-Learning,0.07200000000000001,3,1
744897,Q-Learning,-0.02,2,0
744903,Q-Learning,-0.02,2,0
744909,Q-Learning,-0.02,2,0
744961,Q-Learning,-0.02,2,0
744964,Q-Learning,-0.02,2,0
